"type","date","metrics","value"
"PM10","20181227","29",83.7916666666667
"PM2.5","20181227","29",14.0416666666667
"AQI","20181227","30",51.2083333333333
"PM10","20181227","30",55.75
"PM2.5","20181227","30",14.4583333333333
"AQI","20181227","31",42.3333333333333
"PM10","20181227","31",43.2083333333333
"PM2.5","20181227","31",7
"AQI","20181227","32",44.6666666666667
"PM10","20181227","32",47.6086956521739
"PM2.5","20181227","32",7.75
"AQI","20181227","33",47.2083333333333
"PM10","20181227","33",49.375
"PM2.5","20181227","33",9.04166666666667
"AQI","20181227","34",49.2727272727273
"PM10","20181227","34",52.6363636363636
"PM2.5","20181227","34",6.86363636363636
"AQI","20181227","35",49.8333333333333
"PM10","20181227","35",54.0833333333333
"PM2.5","20181227","35",8.5
"AQI","20181226","1",33.9166666666667
"PM10","20181226","1",21.047619047619
"PM2.5","20181226","1",18.7916666666667
"AQI","20181226","2",28.1904761904762
"PM10","20181226","2",26.9047619047619
"PM2.5","20181226","2",3.18181818181818
"AQI","20181226","3",25.0833333333333
"PM10","20181226","3",24.7083333333333
"PM2.5","20181226","3",8.125
"AQI","20181226","4",27.875
"PM10","20181226","4",27.3636363636364
"PM2.5","20181226","4",12.4545454545455
"AQI","20181226","5",29.5833333333333
"PM10","20181226","5",29.875
"PM2.5","20181226","5",7.5
"AQI","20181226","6",27.6666666666667
"PM10","20181226","6",28.3478260869565
"PM2.5","20181226","6",9.625
"AQI","20181226","7",29.8333333333333
"PM10","20181226","7",30.125
"PM2.5","20181226","7",8.70833333333333
"AQI","20181226","8",53.125
"PM10","20181226","8",68.0909090909091
"PM2.5","20181226","8",10.5833333333333
"AQI","20181226","10",29.0416666666667
"PM10","20181226","10",31.3333333333333
"PM2.5","20181226","10",11.6666666666667
"AQI","20181226","11",29.3333333333333
"PM10","20181226","11",33.0476190476191
"PM2.5","20181226","11",9.83333333333333
"AQI","20181226","12",24.125
"PM10","20181226","12",22.9545454545455
"PM2.5","20181226","12",10.2916666666667
"AQI","20181226","13",34.9583333333333
"PM10","20181226","13",38.0416666666667
"PM2.5","20181226","13",11.4782608695652
"AQI","20181226","14",34.2916666666667
"PM10","20181226","14",39.4166666666667
"PM2.5","20181226","14",10.9166666666667
"AQI","20181226","15",38.9583333333333
"PM10","20181226","15",42.5
"PM2.5","20181226","15",11.6363636363636
"AQI","20181226","16",29.0416666666667
"PM10","20181226","16",30.8260869565217
"PM2.5","20181226","16",8.33333333333333
"AQI","20181226","17",22.8695652173913
"PM10","20181226","17",22.35
"PM2.5","20181226","17",7.1
"AQI","20181226","18",31.5416666666667
"PM10","20181226","18",31.8636363636364
"PM2.5","20181226","18",11.75
"AQI","20181226","19",30.8695652173913
"PM10","20181226","19",30.8260869565217
"PM2.5","20181226","19",10.4782608695652
"AQI","20181226","20",24.6666666666667
"PM10","20181226","20",20.8235294117647
"PM2.5","20181226","20",7.66666666666667
"AQI","20181226","21",21.7826086956522
"PM10","20181226","21",17.6666666666667
"PM2.5","20181226","21",6.08695652173913
"AQI","20181226","22",23.9583333333333
"PM10","20181226","22",23.7619047619048
"PM2.5","20181226","22",8.25
"AQI","20181226","23",32.75
"PM10","20181226","23",33.0869565217391
"PM2.5","20181226","23",15.7916666666667
"AQI","20181226","24",38.25
"PM10","20181226","24",43
"PM2.5","20181226","24",9.16666666666667
"AQI","20181226","25",43
"PM10","20181226","25",45.1666666666667
"PM2.5","20181226","25",17.4583333333333
"AQI","20181226","26",24.0833333333333
"PM10","20181226","26",11.8095238095238
"PM2.5","20181226","26",5.33333333333333
"AQI","20181226","27",21.4583333333333
"PM10","20181226","27",21.8
